16:32:19 DONE: file:/media/Movies/Tarcovsky Filmografija DVDRip/Soljaris_(1_iz_2)_(1972)_DivX_DVDRip.avi, audio:-1, size:512x230
16:44:16 DONE: file:/media/Movies/Tarcovsky Filmografija DVDRip/Andrey_Rubljev_(1_iz_2)_(1966)_DivX_DVDRip.avi, audio:-1, size:512x242
17:21:25 DONE: file:/media/Movies/Tarcovsky Filmografija DVDRip/Stalker_(1_iz_2)_(1979)_DivX_DVDRip.avi, audio:-1, size:512x384
17:57:28 DONE: file:/media/Movies/Документальные/BBC Series/BBC.The.Story.of.Science.2of6.What.is.the.World.Made.of.HDTV.x264.AC3.MVGroup.org.mkv, audio:-1, size:512x288
20:29:59 DONE: file:/media/Movies/Osleplennyj.zhelanijami.2000.XviD.DVDRip.kinozal.tv.avi, audio:-1, size:512x220
21:38:44 DONE: file:/media/Movies/Berlin.Calling.2008.BDRip.avi, audio:-1, size:512x216
22:45:49 DONE: file:/media/Movies/Pidjak.2005.XviD.BDRip.Kinozal.TV.avi, audio:-1, size:512x216
00:09:19 DONE: file:/media/Movies/Krasnaja.linija.2013.x264.HDTVRip(AVC).MediaClub.mkv, audio:1, size:512x288
01:20:25 DONE: file:/media/Movies/Oblivion.2013.1080p.BluRay.Rus.Eng.Subs-HDWinG.mkv, audio:-1, size:512x214
03:01:24 DONE: file:/media/Movies/Chto.Glozhet.Gilberta.Grejpa.1993.x264.BDRip.(720p).mkv, audio:-1, size:512x288
03:46:30 DONE: file:/media/Movies/Puteshestvie.2.Tainstvennyj.ostrov.2012.x264.BDRip.720p.mkv, audio:-1, size:512x288
03:57:57 DONE: file:/media/Movies/Bogi.areny.2011.P.HDRip.avi, audio:-1, size:512x284
05:04:30 DONE: file:/media/Movies/Policeiski.Iz.Beverli.Hilz.II.1987.HDTVRip.XviD.AC3.avi, audio:-1, size:512x216
05:30:28 DONE: file:/media/Movies/Turist.2010.x264.BDRip.720p.mkv, audio:-1, size:512x212
06:04:20 DONE: file:/media/Movies/Машина Времени.avi, audio:-1, size:512x216
07:20:22 DONE: file:/media/Movies/Dezha.viu.2006.XviD.DVDRip-Kinozal.TV.avi, audio:-1, size:512x216
07:20:41 DONE: file:/media/Movies/Ostrov.2005.x264.BDRip.(AVC).mkv, audio:-1, size:512x216
08:25:10 DONE: file:/media/Movies/po_semeynim_obstojatelstvam_2.avi, audio:-1, size:512x386
11:08:48 DONE: file:/media/Movies/Dogvill.2003.DivX.DVDRip.Kinozal.TV.avi, audio:-1, size:512x220
11:21:44 DONE: file:/media/Movies/Peyzazhi.vremeni.2012.x264.WEB-DL.1440p.mp4, audio:-1, size:512x288
12:41:31 DONE: file:/media/Movies/Jesus Christ Superstar.avi, audio:-1, size:512x408
14:13:30 DONE: file:/media/Movies/Vverh.3D.2009.x264.BDRip.(1080p).mkv, audio:1, size:512x288
14:27:15 DONE: file:/media/Movies/Fear and Loathing in Las-Vegas.BDRip-AVC.mkv, audio:-1, size:512x216
15:11:44 DONE: file:/media/Movies/proshaite_faraonu_1.46_[torrents.ru]_by_bm11.avi, audio:-1, size:512x266
16:16:15 DONE: file:/media/Movies/Chuzhie.sredi.nas.1988.XviD.BDRip.HQCLUB.avi, audio:-1, size:512x226
12:32:37 DONE: file:/media/Movies/Старые песни о главном-2.1997.DVDRip.avi, audio:-1, size:512x308
13:50:42 DONE: file:/media/Movies/Tangled (2010) [BDRip 1080p].mkv, audio:-1, size:512x288
14:36:48 DONE: file:/media/Movies/Список Шиндлера.avi, audio:-1, size:512x266
16:23:43 DONE: file:/media/Movies/Kevin Spacey/Zhizn.Davida.Geila.2003.XviD.HDRip.avi, audio:-1, size:512x216
16:54:40 DONE: file:/media/Movies/The.Heat.BDRip.1080p.HDR.mkv, audio:-1, size:512x212
17:41:40 DONE: file:/media/Movies/Kevin Spacey/Semy.1995.XviD.DVDRip(BDRip).Kinozal.TV.avi, audio:-1, size:512x216
18:50:49 DONE: file:/media/Movies/Kevin Spacey/Peregovorschik.1998.x264.BDRip.(AVC).Kinozal.TV.mkv, audio:-1, size:512x212
19:32:01 DONE: file:/media/Movies/Kevin Spacey/Secrety.Los-Andzhelesa.1997.x264.BDRip(AVC).Olegov.mkv, audio:-1, size:512x212
20:21:22 DONE: file:/media/Movies/Kevin Spacey/Podozritelnie.lica.1995.x264.BDRip.(AVC)_SilaVetra.mkv, audio:-1, size:512x216
20:44:08 DONE: file:/media/Movies/Kevin Spacey/Krasota.po.amerikanski.1999.XviD.DVDRip.(BDRip).avi, audio:-1, size:512x216
21:34:51 DONE: file:/media/Movies/Tarcovsky Filmografija DVDRip/Soljaris_(2_iz_2)_(1972)_DivX_DVDRip.avi, audio:-1, size:512x230
21:39:14 DONE: file:/media/Movies/Kevin Spacey/U.morja.2004.XviD.DVDRip.Kinozal.TV.avi, audio:-1, size:512x290
